Date,Description,Card Member,Account #,Amount
01/03/2026,CORNER MARKET,JANE DOE,XXXXX-10001,0.01
01/05/2026,"MACY'S DEPT STORE, INC",JANE DOE,XXXXX-10001,499.99
1/7/2026,UBER *TRIP,JANE DOE,XXXXX-10001,23.45
01/10/2026,CAFÉ EUROPA,JANE DOE,XXXXX-10001,18.75
01/12/2026,H&M US ONLINE,JANE DOE,XXXXX-10001,67.00
01/15/2026,PAYMENT RECEIVED - THANK YOU,JANE DOE,XXXXX-10001,-2500.00
01/18/2026,TIFFANY & CO,JOHN DOE,XXXXX-10002,12500.00
01/20/2026,SQ *FOOD TRUCK,JANE DOE,XXXXX-10001,8.50
01/22/2026,,JANE DOE,XXXXX-10001,15.00
01/25/2026,AUTOPAY PAYMENT,JANE DOE,XXXXX-10001,-1500.00
